RunDetails_FileName,RunDetails_FilePath,RunDetails_LoadNumber,RunDetails_Equipment,RunDetails_RunRecipe,RunDetails_RunStart,RunDetails_RunEnd,RunDetails_RunDuration,RunDetails_FileLength,RunDetails_OperatorName,RunDetails_ExportControl,RunDetails_IP,PartInformation_Index,PartInformation_WorkOrder,PartInformation_PartNumber,PartInformation_PartDescription,PartInformation_ToolLocation,PartInformation_Comment1,PartInformation_Comment2,PartInformation_Comment3,PartInformation_PartTCs
AC4-02983.DAT,\\server1\AC4-DATA,AC4 - 2497,Autoclave #4,ACME Drying Cure,2018-09-26T16:21:31,2018-09-29T18:41:57,4460.43,279897,Pete,AU NSR,Third Party Disclosure Requires Written Approval,1,RDRN01,ACME-900,Blinker,,,,,TC1
AC4-02983.DAT,\\server1\AC4-DATA,AC4 - 2497,Autoclave #4,ACME Drying Cure,2018-09-26T16:21:31,2018-09-29T18:41:57,4460.43,279897,Pete,AU NSR,Third Party Disclosure Requires Written Approval,1,RDRN01,ACME-900,Blinker,,,,,TC2
